ParticipantID,Modality,Task,Confidence
101,2d,range,4
101,2d,compare,4
101,2d,advect,3
101,physical,compare,5
101,physical,advect,2
101,physical,range,2
101,3d,advect,5
101,3d,range,3
101,3d,compare,5
102,physical,range,3
102,physical,compare,3
102,physical,advect,4
102,2d,compare,3
102,2d,advect,2
102,2d,range,4
102,3d,advect,4
102,3d,range,2
102,3d,compare,3
103,2d,range,3
103,2d,compare,2
103,2d,advect,3
103,3d,compare,3
103,3d,advect,4
103,3d,range,2
103,physical,advect,4
103,physical,range,4
103,physical,compare,4
104,3d,range,4
104,3d,compare,5
104,3d,advect,4
104,physical,compare,5
104,physical,advect,4
104,physical,range,2
104,2d,advect,1
104,2d,range,3
104,2d,compare,4
105,3d,range,3
105,3d,compare,4
105,3d,advect,4
105,2d,compare,4
105,2d,advect,3
105,2d,range,5
105,physical,advect,4
105,physical,range,2
105,physical,compare,3
106,physical,range,3
106,physical,compare,3
106,physical,advect,3
106,3d,compare,3
106,3d,advect,3
106,3d,range,2
106,2d,advect,3
106,2d,range,4
106,2d,compare,3
107,2d,range,4
107,2d,compare,4
107,2d,advect,3
107,physical,compare,4
107,physical,advect,2
107,physical,range,3
107,3d,advect,2
107,3d,range,2
107,3d,compare,4
108,physical,range,3
108,physical,compare,4
108,physical,advect,4
108,2d,compare,4
108,2d,advect,3
108,2d,range,5
108,3d,advect,4
108,3d,range,1
108,3d,compare,4
109,2d,range,3
109,2d,compare,4
109,2d,advect,3
109,3d,compare,3
109,3d,advect,4
109,3d,range,3
109,physical,advect,4
109,physical,range,3
109,physical,compare,3
110,3d,range,3
110,3d,compare,4
110,3d,advect,3
110,physical,compare,4
110,physical,advect,4
110,physical,range,3
110,2d,advect,2
110,2d,range,3
110,2d,compare,3
111,3d,range,2
111,3d,compare,4
111,3d,advect,3
111,2d,compare,2
111,2d,advect,1
111,2d,range,2
111,physical,advect,3
111,physical,range,3
111,physical,compare,4
112,physical,range,3
112,physical,compare,4
112,physical,advect,3
112,3d,compare,3
112,3d,advect,1
112,3d,range,1
112,2d,advect,3
112,2d,range,5
112,2d,compare,3
113,2d,range,2
113,2d,compare,4
113,2d,advect,3
113,physical,compare,2
113,physical,advect,4
113,physical,range,1
113,3d,advect,4
113,3d,range,1
113,3d,compare,2
114,physical,range,4
114,physical,compare,4
114,physical,advect,4
114,2d,compare,3
114,2d,advect,2
114,2d,range,3
114,3d,advect,4
114,3d,range,2
114,3d,compare,4
115,2d,range,4
115,2d,compare,3
115,2d,advect,1
115,3d,compare,2
115,3d,advect,4
115,3d,range,1
115,physical,advect,5
115,physical,range,4
115,physical,compare,5
116,3d,range,3
116,3d,compare,4
116,3d,advect,4
116,physical,compare,5
116,physical,advect,4
116,physical,range,2
116,2d,advect,2
116,2d,range,3
116,2d,compare,4
117,3d,range,3
117,3d,compare,4
117,3d,advect,4
117,2d,compare,3
117,2d,advect,1
117,2d,range,3
117,physical,advect,5
117,physical,range,3
117,physical,compare,5
118,physical,range,4
118,physical,compare,5
118,physical,advect,3
118,3d,compare,5
118,3d,advect,4
118,3d,range,2
118,2d,advect,4
118,2d,range,5
118,2d,compare,4
120,physical,range,3
120,physical,compare,3
120,physical,advect,2
120,2d,compare,4
120,2d,advect,2
120,2d,range,4
120,3d,advect,2
120,3d,range,3
120,3d,compare,3
121,2d,range,4
121,2d,compare,3
121,2d,advect,3
121,3d,compare,4
121,3d,advect,3
121,3d,range,2
121,physical,advect,3
121,physical,range,3
121,physical,compare,3
122,3d,range,2
122,3d,compare,4
122,3d,advect,4
122,physical,compare,4
122,physical,advect,4
122,physical,range,3
122,2d,advect,2
122,2d,range,2
122,2d,compare,3
123,3d,range,3
123,3d,compare,4
123,3d,advect,4
123,2d,compare,4
123,2d,advect,3
123,2d,range,4
123,physical,advect,5
123,physical,range,4
123,physical,compare,4
124,physical,range,3
124,physical,compare,4
124,physical,advect,1
124,3d,compare,2
124,3d,advect,4
124,3d,range,2
124,2d,advect,1
124,2d,range,4
124,2d,compare,4
125,2d,range,4
125,2d,compare,5
125,2d,advect,3
125,physical,compare,5
125,physical,advect,5
125,physical,range,4
125,3d,advect,4
125,3d,range,4
125,3d,compare,5
