Modality,Participant ID,"Were there any positive factors that contributed to your experience with the user interface? If so, please describe them.","Were there any negative factors that took away from your experience with the user interface? If so, please describe them.","Were there any strategies that helped you complete the task? If so, please describe them."
2D,101,The color is very helpful in the background., I often misread the direction of slope with contours alone.,"For the comparison task, I will rule out the most impossible option first and make the comparison simpler. For the path intersection task, I use the mouse to follow the path I was imaging."
Physical,101,I can easily find the peak and the valley,It is very difficult to judge the absolute height of a point.,I will try to look from the side so that I can better refer to the height reference on the right.
VR,101,I can easily manipulate the 3d model.,The legend does not move with the model. I feels like it makes me harder to judge the height.,I used the same strategies in the physical condition. But I rotate the model more here because it is easier. This kind of exploration gives me a lot of information.
Physical,102,there is a metric that I can move to see the max/min height. Hear confirmation of getting the practice round correct. ,"uncertain about my own answer, doesn't have markers to coordinatesthe point and find & memorize it carefully","use fingers to hold the coordinate, rotate/turn the board, use my fingers as guidance. lower myself to the height of the board to see the max/min height"
2D,102,extra pointer(cursor) on top of using my finger only. I can zoom in and zoom out. Hear confirmation on the practice round. I can navigate easily and see things clearly on the 2d. height is labeled to help with estimates,the picture loading in between each zoom in/out. It takes time away from me looking. I can't see if I zoom in the correct coord when zoomed in,use cursor as a extra marker on the coord. Use the number on the map to help finding the max/min
VR,102,"It was easy to move the graph around, easy to zoom in/out. I have two label points to help me find the coord (despite it doesn't temporary mark the coord). the lighting helps with the advert study. ","the scale was too hard to align with the graph (it should set that it can move up and down in a user-friendly way / stick the scale to the base of the the graph or something). Moving 3D is convenience, but not as easily as moving the object in person",use the cursor as a marker to help find the coordinates. Easily to zoom in
2D,103,The color of the map helped me a lot as it is easier to differentiate the elevation. ,The image took time to load and that gave me anxiety as the task is timed. ,Using the color as a general assessment of the elevation and then looking at the value of the lines.
VR,103,The 3D model helps make differentiate the height better. ,"The legion is hard to align with the map, making my answers less accurate. ",Zooming into the target area and pull the legion aside helped me a lot. 
Physical,103,I can manipulate the physical object easily and compare their height when looking at the side of it. ,I can not put the legion inside the target area to compare the height. ,Looking at the side of the physical model and compare the height of different spots. 
VR,104,Being able to visualize things in 3d and move them around to see from different angles made the tasks easier.,Inability to move the legend and the model together made it more difficult to measure in tasks 1 and 2. (The legend was not needed/helpful for task 3.),Magnifying to see things more closely for task 3. 
Physical,104,"Ability to move the model around very easily. Particularly useful for finding the lowest point and the ""ball rolling down the hill"" task.",The legend was very difficult to use for the range task. I felt limited by the fact that I couldn't place it through the model to actually measure.,None I can remember.
2D,104,Looking at numbers felt more precise than looking at a physical model.,Super cognitively demanding. My brain was working hard the entire time as none of the 2d viz elements were intuitive in the same way the 3d and physical models were.,No.
VR,105,The light in the virtual space being synced to the light in the physical space made it very intuitive to use the shine and shadows of the virtual model to try and get a gauge of its 3d shape despite being monochrome,"There was some tracking desync with the thumb button, so I only really used it to pinch for resizing, rather than using both hands to more precisely rotate it","Trying to trace out the path for the third section helped, and trying to align the legend within the 3d model helped with the first section"
2D,105,Being able to see the contour lines rather than trying to eyeball with a legend,"It took some time for it to re-render the map whenever I changed zoom levels or panned the viewport, and the map tended to ""jerk"" around when zooming out","Counting contour lines between labels for the elevation range & elevation comparison tasks, and tracing how ""tight"" the contour lines were for the advect task"
Physical,105,Having a tangible object to touch made the tracing/intersection task easier,"Downsides of the physical map, like the lack of topography labels, and not being able to ""clip"" the scale into it when it gets occluded by the edge",Tracing the path with my finger for the pathfinding task
Physical,106,The legend is helpful and the board has numbers and letters in both sides. I can rotate the model and make use of the lighting in the room to determine the relative altitude.,It's probably a me problem that I was not able to locate the specific point at the first place and the legend sometimes covers the letters and numbers which make me spend more time locating the point (this is probably an overhead?),"Although I didn't do it through all the trials, looking at the point from three views (front, left and top) helped identify the altitude. Again, the lighting in the physical environment helped a lot in the advection task. For finding the lowest point, paired-comparison will make it faster especially when the altitudes of the three points are different. "
VR,106,N/A,"The map and legend can't be decoupled as in the physical condition. It's also difficult for me to align the legend to the edge of the map to identify the altitude. When rotating or scaling the map, the legend doesn't go with the map, therefore extra time is needed to put the legend in a correct place. So I almost didn't use the bimanual interaction during the tasks and finish all them using my dominant hand instead.","I rotated the model to a certain view which makes me feel easy to finish the tasks, and spent more time observing it from that static view (i.e. not rotating frequently as I did in the physical condition). "
2D,106,"The mouse cursor helped locating the points when comparing the altitudes. The contour lines with numbers were super helpful for identifying the altitudes, and the colormap helped when zooming out the map.","The time for loading the map when zooming in and out is a bit longer (seems not running smoothly?). When the adjacent contour lines are far away, it's difficult to determine the ball direction.","Zoom out and check the color map, then zoom in for detailed comparison using numbers on the contour lines."
2D,107,The UI was user-friendly and easy to navigate. ,"The crosshairs were a little hard to notice if you don't pay much attention. The colors are kind of mixing to each other, making it quite hard to distinguish different elevations.",Paying attention to the indicated numbers and colors distribution are some ways to help me complete the tasks.
Physical,107,"The model was made meticulously, so that it is not very difficult to see the difference between two adjacent elevations (very high vs. very low).","The model was made entirely using one color so it is hard to tell when there is a small ""going-up"" in the middle of ""going-down"" if looking from top to bottom.",I turned the model around and position my eyes horizontally with the model in other to see clearly the two elevations
VR,107,The 3D model can be zoomed in and out freely which was very convenient to observe small details. The control was not so hard after using for a while.,The model was hard to control at first. The model was not standing still but moving around when my head moved. ,"Push and hold one control and only use the other one when I needed to zoom or rotate. Otherwise, one control is sufficient for me to observe the model."
Physical,108,The ability to physically manipulate and feel the model helped in these tasks,The fact that it was solid made estimating the height in the middle and the lowest point difficult since I had a harder time feeling it ,The strategy was to rely on my sense of touch to find the lowest and highest point and trace the path down the hill 
2D,108,The lines made it much easier determining height and steepness,The environment took a bit to load when zooming in and out which made it difficult to compare if I wanted to get in close,Counting rings helped for this test
