Row ID,Participant ID,Modality,PositiveFactor1,PositiveFactor2,PositiveFactor3,NegativeFactor1,NegativeFactor2,NegativeFactor3,Strategy1,Strategy2,Strategy3
1,101,2D,color,background,,contour lines,,,paired comparison,trace path,cursor
5,102,2D,manipulate,cursor,labels,slow,manipulate,,cursor,labels,
7,103,2D,color,2D visualization,,slow,,,color then contour lines,,
12,104,2D,labels,,,contour lines,labels,,,,
14,105,2D,contour lines,,,slow,manipulate,,count contour lines,trace path,
18,106,2D,cursor,contour lines,color,slow,contour lines,manipulate,color then contour lines,manipulate,
19,107,2D,manipulate,,,crosshairs,color,,color then contour lines,,
23,108,2D,contour lines,,,slow,manipulate,,count contour lines,,
25,109,2D,,,,,,,,,
30,110,2D,color,2D visualization,,labels,slow,,trace path,,
32,111,2D,contour lines,color,2D visualization,contour lines,labels,,color then contour lines,paired comparison,
36,112,2D,,,,slow,,,color then contour lines,,
37,113,2D,,,,manipulate,,,,,
41,114,2D,,,,contour lines,labels,,color,,
43,115,2D,manipulate,2D visualization,contour lines,,,,color then contour lines,touch,cursor
48,116,2D,contour lines,color,labels,manipulate,slow,,map context,,
50,117,2D,contour lines,color,,slow,,,contour lines,,
54,118,2D,2D visualization,,,slow,labels,,shading,,
55,119,2D,manipulate,color,,crosshairs,,,touch,picture ball rolling,
59,120,2D,manipulate,color,labels,slow,labels,,manipulate,,
61,121,2D,manipulate,,,manipulate,,,,,
66,122,2D,color,,,contour lines,labels,,color,contour lines,
68,123,2D,manipulate,,,,,,contour lines,,
72,124,2D,contour lines,2D visualization,,manipulate,slow,,,,
73,125,2D,manipulate,cursor,,slow,labels,,map context,,
2,101,Physical,,,,,,,change view,,
4,102,Physical,confirmation,,,labels,,,manipulate,change view,touch
9,103,Physical,manipulate,physicalization,,legend,,,change view,,
11,104,Physical,manipulate,physicalization,,legend,,,,,
15,105,Physical,physicalization,touch,,solid,,,trace path,touch,
16,106,Physical,legend,manipulate,lighting,legend,labels,,change view,lighting,paired comparison
20,107,Physical,physicalization,,,color,,,change view,manipulate,
22,108,Physical,physicalization,manipulate,touch,solid,,,touch,,
27,109,Physical,points,,,,,,,,
29,110,Physical,physicalization,,,,,,,,
33,111,Physical,physicalization,touch,,,,,touch,,
34,112,Physical,,,,,,,manipulate,change view,
38,113,Physical,legend,,,legend,,,trace path,touch,
40,114,Physical,legend,,,,,,touch,,
45,115,Physical,touch,physicalization,,legend,lack of resources,,touch,,
47,116,Physical,physicalization,touch,,legend,,,connect points,,
51,117,Physical,physicalization,manipulate,,,,,legend,touch,
52,118,Physical,physicalization,,,,,,paired comparison,picture water flowing,
56,119,Physical,touch,,,legend,,,change view,touch,
58,120,Physical,manipulate,touch,,legend,,,manipulate,change view,
63,121,Physical,physicalization,touch,manipulate,,,,touch,,
65,122,Physical,manipulate,physicalization,,legend,,,manipulate,change view,
69,123,Physical,,,,,,,manipulate,,
70,124,Physical,,,,size,lack of resources,,touch,,
74,125,Physical,manipulate,touch,physicalization,legend,,,manipulate,picture ball rolling,align legend
3,101,VR,manipulate,virtual visualization,,legend,,,manipulate,,
6,102,VR,manipulate,cursor,lighting,legend,,,cursor,manipulate,
8,103,VR,virtual visualization,,,legend,,,manipulate,align legend,
10,104,VR,virtual visualization,manipulate,,legend,manipulate,,manipulate,,
13,105,VR,lighting,virtual visualization,,tracking,,,trace path,align legend,
17,106,VR,,,,legend,manipulate,,manipulate,,
21,107,VR,manipulate,virtual visualization,,manipulate,,,manipulate,,
24,108,VR,manipulate,virtual visualization,,legend,,,align legend,,
26,109,VR,,,,manipulate,virtual visualization,,,,
28,110,VR,manipulate,virtual visualization,,legend,,,align legend,,
31,111,VR,interaction devices,manipulate,virtual visualization,legend,manipulate,,manipulate,,
35,112,VR,,,,manipulate,,,manipulate,,
39,113,VR,virtual visualization,,,interaction devices,,,,,
42,114,VR,,,,legend,manipulate,,change view,,
44,115,VR,manipulate,virtual visualization,,legend,manipulate,,manipulate,,
46,116,VR,,,,manipulate,,,manipulate,change view,
49,117,VR,bounds,,,virtual visualization,manipulate,,,,
53,118,VR,,,,tracking,interaction devices,,change view,,
57,119,VR,clipping,manipulate,,legend,clipping,,change view,,
60,120,VR,manipulate,legend,,legend,manipulate,,recheck answers,,
62,121,VR,manipulate,virtual visualization,,legend,,,manipulate,,
64,122,VR,manipulate,virtual visualization,,manipulate,,,manipulate,change view,
67,123,VR,interaction devices,,,tracking,,,change view,,
71,124,VR,manipulate,legend,,legend,,,manipulate,change view,
75,125,VR,manipulate,virtual visualization,,manipulate,legend,,clipping,lighting,picture ball rolling
