ParticipantID,TrialNum,Modality,Task,Dataset,ModalityOrder,TaskOrder,DatasetOrder,Repetition,Target,CorrectAnswer,UserAnswer,UserStartTime,UserEndTime,Drop Notes,Pick up phys,Use body reference frame
101,1,2d,range,0-0,0,0,0,training1,A8,307-603,350-620,1690479698,1690479729,,,
101,2,2d,range,2-0,0,0,1,1,H10,1171-2040,1150-2100,1690479787,1690479829,,,
101,3,2d,range,2-0,0,0,1,2,B3,1150-1805,1100-1800,1690479834,1690479864,,,
101,4,2d,range,2-0,0,0,1,3,B9,2041-2598,2050-2600,1690479875,1690479895,,,
101,5,2d,compare,0-0,0,1,0,training1,H8-C9-G3,G3,G3,1690479973,1690480003,,,
101,6,2d,compare,2-0,0,1,1,1,C1-F7-J9,J9,J9,1690480024,1690480057,,,
101,7,2d,compare,2-0,0,1,1,2,I2-F5-C7,I2,I2,1690480062,1690480080,,,
101,8,2d,compare,2-0,0,1,1,3,I4-H10-E3,I4,I4,1690480083,1690480114,,,
101,9,2d,advect,0-0,0,2,0,training1,D9,09:06,09:30,1690480310,1690480323,,,
101,10,2d,advect,2-0,0,2,1,1,C7,07:23,07:15,1690480347,1690480374,,,
101,11,2d,advect,2-0,0,2,1,2,B5,03:30,03:30,1690480382,1690480406,,,
101,12,2d,advect,2-0,0,2,1,3,B3,07:34,07:30,1690480409,1690480423,,,
101,13,physical,compare,0-0,1,1,0,training1,J6-F4-A1,F4,F4,1690480956,1690480971,,,
101,14,physical,compare,2-0,1,1,1,1,E8-J1-A2,J1,J1,1690481000,1690481013,,,Multiple Fingers
101,15,physical,compare,2-0,1,1,1,2,D6-A9-J8,J8,J8,1690481016,1690481035,,,Multiple Fingers
101,16,physical,compare,2-0,1,1,1,3,G4-D10-C4,G4,G4,1690481037,1690481054,,,Multiple Fingers
101,17,physical,advect,0-0,1,2,0,training1,B10,11:03,10:45,1690481144,1690481162,,,
101,18,physical,advect,2-0,1,2,1,1,B9,08:55,06:00,1690481219,1690481246,,,
101,19,physical,advect,2-0,1,2,1,2,A7,08:20,08:30,1690481248,1690481267,,,
101,20,physical,advect,2-0,1,2,1,3,G8,04:52,05:15,1690481270,1690481291,,,
101,21,physical,range,0-0,1,0,0,training1,B10,494-1312,600-1300,1690481375,1690481409,,,
101,22,physical,range,2-0,1,0,1,1,F10,1416-2154,1400-2200,1690481443,1690481477,,,
101,23,physical,range,2-0,1,0,1,2,G8,1073-1809,1000-1900,1690481479,1690481505,,,
101,24,physical,range,2-0,1,0,1,3,C7,1415-2077,1500-2300,1690481509,1690481553,,,
101,25,3d,advect,0-0,2,2,0,training1,J10,11:44,12:00,1690482210,1690482239,,,
101,26,3d,advect,2-0,2,2,1,1,E7,05:36,05:45,1690482260,1690482283,,,
101,27,3d,advect,2-0,2,2,1,2,D9,09:41,06:15,1690482291,1690482314,,,
101,28,3d,advect,2-0,2,2,1,3,F10,06:59,06:50,1690482317,1690482335,,,
101,29,3d,range,0-0,2,0,0,training1,J10,326-1128,200-1100,1690482439,1690482467,,,
101,30,3d,range,2-0,2,0,1,1,B5,1409-2165,1000-2100,1690482488,1690482525,,,
101,31,3d,range,2-0,2,0,1,2,D9,1752-2334,1700-2100,1690482530,1690482558,,,
101,32,3d,range,2-0,2,0,1,3,E7,1323-2040,1400-2000,1690482563,1690482593,,,
101,33,3d,compare,0-0,2,1,0,training1,H1-I9-E5,H1,H1,1690482598,1690482611,,,
101,34,3d,compare,2-0,2,1,1,1,G9-E1-A3,E1,E1,1690482616,1690482633,,,
101,35,3d,compare,2-0,2,1,1,2,B9-E4-A4,E4,E4,1690482638,1690482652,,,
101,36,3d,compare,2-0,2,1,1,3,B7-F9-H2,H2,H2,1690482657,1690482675,,,
102,1,physical,range,0-0,0,0,0,training1,H9,359-1026,300-1150,1690821396,1690821436,,,
102,2,physical,range,0-2,0,0,1,1,F7,435-1090,500-1050,1690821476,1690821510,,,Multiple Fingers
102,3,physical,range,0-2,0,0,1,2,E5,623-1095,500-850,1690821518,1690821555,,Rotate,Multiple Fingers
102,4,physical,range,0-2,0,0,1,3,C8,630-1095,700-950,1690821558,1690821606,,Rotate,Multiple Fingers
102,5,physical,compare,0-0,0,1,0,training1,H3-A6-G8,H3,H3,1690821713,1690821737,,,
102,6,physical,compare,0-2,0,1,1,1,B7-B1-I9,I9,I9,1690821757,1690821783,,,Multiple Fingers
102,7,physical,compare,0-2,0,1,1,2,J2-G8-B9,G8,G8,1690821784,1690821809,,,Multiple Fingers
102,8,physical,compare,0-2,0,1,1,3,H9-B2-F5,H9,H9,1690821811,1690821870,,,Multiple Fingers
102,9,physical,advect,0-0,0,2,0,training1,D9,09:06,09:00,1690822007,1690822024,,,
102,10,physical,advect,0-2,0,2,1,1,E5,05:05,07:30,1690822050,1690822069,,,One Finger
102,11,physical,advect,0-2,0,2,1,2,I2,09:57,10:00,1690822071,1690822085,,,One Finger
102,12,physical,advect,0-2,0,2,1,3,C8,10:07,10:00,1690822086,1690822098,,,One Finger
102,13,2d,compare,0-0,1,1,0,training1,H6-D1-I1,D1,D1,1690822712,1690822745,,,Multiple Fingers
102,14,2d,compare,0-2,1,1,1,1,I6-D5-E1,I6,I6,1690822792,1690822815,,,Multiple Fingers
102,15,2d,compare,0-2,1,1,1,2,G10-C1-A7,A7,G10,1690822815,1690822851,,,Multiple Fingers
102,16,2d,compare,0-2,1,1,1,3,J10-G7-J3,J10,J10,1690822852,1690822889,,,
102,17,2d,advect,0-0,1,2,0,training1,H9,04:28,05:00,1690822986,1690823024,,,
102,18,2d,advect,0-2,1,2,1,1,A10,01:15,01:15,1690823104,1690823141,,,
102,19,2d,advect,0-2,1,2,1,2,G10,09:28,09:30,1690823142,1690823193,,,
102,20,2d,advect,0-2,1,2,1,3,F7,06:44,06:45,1690823205,1690823230,,,
102,21,2d,range,0-0,1,0,0,training1,C7,330-885,360-880,1690823307,1690823354,,,
102,22,2d,range,0-2,1,0,1,1,G10,309-1032,250-1040,1690823376,1690823427,,,
102,23,2d,range,0-2,1,0,1,2,B4,658-1045,660-1040,1690823432,1690823482,,,
102,24,2d,range,0-2,1,0,1,3,A10,302-1215,220-1250,1690823496,1690823541,,,
102,25,3d,advect,0-0,2,2,0,training1,C7,02:48,03:00,1690824125,1690824153,,,
102,26,3d,advect,0-2,2,2,1,1,B2,09:29,09:30,1690824189,1690824206,,,
102,27,3d,advect,0-2,2,2,1,2,B4,03:23,03:00,1690824207,1690824222,,,
102,28,3d,advect,0-2,2,2,1,3,J4,06:04,06:00,1690824224,1690824240,,,
102,29,3d,range,0-0,2,0,0,training1,J10,326-1128,700-1450,1690824288,1690824355,,,
102,30,3d,range,0-2,2,0,1,1,B2,826-1163,900-1150,1690824436,1690824486,,,
102,31,3d,range,0-2,2,0,1,2,I2,495-990,300-700,1690824490,1690824534,,,
102,32,3d,range,0-2,2,0,1,3,J4,353-1060,300-900,1690824539,1690824581,,,
102,33,3d,compare,0-0,2,1,0,training1,D6-E1-J4,E1,E1,1690824631,1690824651,,,
102,34,3d,compare,0-2,2,1,1,1,C9-C4-I4,I4,C4,1690824660,1690824702,,,
102,35,3d,compare,0-2,2,1,1,2,F2-J5-A10,J5,J5,1690824705,1690824741,,,
102,36,3d,compare,0-2,2,1,1,3,I2-B8-E4,B8,B8,1690824742,1690824773,,,
103,1,2d,range,0-0,0,0,0,training1,J10,326-1128,300-1000,1690828359,1690828411,,,
103,2,2d,range,0-1,0,0,1,1,F3,805-1781,750-1700,1690828467,1690828516,,,
103,3,2d,range,0-1,0,0,1,2,J10,641-1896,720-1880,1690828522,1690828571,,,
103,4,2d,range,0-1,0,0,1,3,G6,647-1276,740-1280,1690828580,1690828627,,,One Finger
103,5,2d,compare,0-0,0,1,0,training1,I7-B6-G3,G3,G3,1690828713,1690828758,,,
103,6,2d,compare,0-1,0,1,1,1,C9-B4-I9,I9,I9,1690828776,1690828830,,,
103,7,2d,compare,0-1,0,1,1,2,C10-I5-J9,J9,J9,1690828835,1690828900,,,
103,8,2d,compare,0-1,0,1,1,3,G8-C5-J1,G8,G8,1690828902,1690828966,,,
103,9,2d,advect,0-0,0,2,0,training1,F10,09:26,08:00,1690829177,1690829235,,,
103,10,2d,advect,0-1,0,2,1,1,E6,06:20,05:45,1690829296,1690829342,,,
103,11,2d,advect,0-1,0,2,1,2,J10,09:32,07:45,1690829347,1690829391,,,
103,12,2d,advect,0-1,0,2,1,3,H4,03:05,03:00,1690829394,1690829443,,,
103,13,3d,compare,0-0,1,1,0,training1,B3-G2-I10,G2,B3,1690830122,1690830184,,,
103,14,3d,compare,0-1,1,1,1,1,J4-F7-D4,D4,D4,1690830318,1690830378,,,
103,15,3d,compare,0-1,1,1,1,2,A2-G10-H3,A2,A2,1690830381,1690830445,,,
103,16,3d,compare,0-1,1,1,1,3,I3-E9-A4,E9,E9,1690830447,1690830484,,,
103,17,3d,advect,0-0,1,2,0,training1,D9,09:06,03:45,1690830536,1690830598,,,
103,18,3d,advect,0-1,1,2,1,1,A3,12:41,07:45,1690830673,1690830705,,,
103,19,3d,advect,0-1,1,2,1,2,G6,04:30,05:00,1690830707,1690830754,,,
103,20,3d,advect,0-1,1,2,1,3,B5,12:19,01:45,1690830757,1690830814,,,
103,21,3d,range,0-0,1,0,0,training1,D9,221-808,150-900,1690830924,1690830987,,,
103,22,3d,range,0-1,1,0,1,1,B5,1115-1567,1000-1400,1690831028,1690831092,,,
103,23,3d,range,0-1,1,0,1,2,B8,723-1283,800-1700,1690831095,1690831153,,,
103,24,3d,range,0-1,1,0,1,3,H4,979-1749,300-1500,1690831156,1690831214,,,
103,25,physical,advect,0-0,2,2,0,training1,J5,08:06,07:45,1690831617,1690831659,,,
103,26,physical,advect,0-1,2,2,1,1,J3,02:45,02:50,1690831682,1690831726,,Pick Up,
103,27,physical,advect,0-1,2,2,1,2,G10,09:18,06:50,1690831747,1690831789,,Pick Up,
103,28,physical,advect,0-1,2,2,1,3,F3,07:18,07:10,1690831790,1690831838,,Pick Up,
103,29,physical,range,0-0,2,0,0,training1,I7,137-591,100-700,1690831886,1690831937,,,
103,30,physical,range,0-1,2,0,1,1,A3,980-1787,900-1750,1690831964,1690832020,,Pick Up,
103,31,physical,range,0-1,2,0,1,2,E6,948-1472,950-1410,1690832022,1690832075,,Pick Up,
103,32,physical,range,0-1,2,0,1,3,J3,801-1495,790-1450,1690832076,1690832127,,Pick Up,
103,33,physical,compare,0-0,2,1,0,training1,E3-I3-A9,I3,I3,1690832170,1690832224,,,
103,34,physical,compare,0-1,2,1,1,1,H7-J3-E1,H7,H7,1690832242,1690832289,,Pick Up,Multiple Fingers
103,35,physical,compare,0-1,2,1,1,2,B5-H9-B9,H9,H9,1690832291,1690832336,,Pick Up,Multiple Fingers
103,36,physical,compare,0-1,2,1,1,3,G1-F9-J8,J8,G1,1690832337,1690832404,,Pick Up,Multiple Fingers
104,1,3d,range,0-0,0,0,0,training1,J10,326-1128,200-1200,1691170543,1691170573,,,
104,2,3d,range,2-0,0,0,1,1,C7,1415-2077,1700-2000,1691170666,1691170724,,,
104,3,3d,range,2-0,0,0,1,2,H10,1171-2040,1100-1600,1691170734,1691170773,,,
104,4,3d,range,2-0,0,0,1,3,B9,2041-2598,1800-2600,1691170779,1691170821,,,
104,5,3d,compare,0-0,0,1,0,training1,A3-B9-I4,A3,A3,1691170907,1691170987,,,
104,6,3d,compare,2-0,0,1,1,1,F1-H10-D9,F1,F1,1691171024,1691171039,,,
104,7,3d,compare,2-0,0,1,1,2,D4-H3-A6,H3,H3,1691171042,1691171061,,,
104,8,3d,compare,2-0,0,1,1,3,H2-A10-E5,H2,H2,1691171063,1691171085,,,
104,9,3d,advect,0-0,0,2,0,training1,B10,11:03,09:15,1691171197,1691171241,,,
104,10,3d,advect,2-0,0,2,1,1,B9,08:55,05:45,1691171276,1691171315,,,
104,11,3d,advect,2-0,0,2,1,2,B3,07:34,07:30,1691171317,1691171347,,,
104,12,3d,advect,2-0,0,2,1,3,G8,04:52,05:05,1691171350,1691171377,,,
104,13,physical,compare,0-0,1,1,0,training1,C9-C3-G7,C3,C3,1691171767,1691171788,,,
104,14,physical,compare,2-0,1,1,1,1,F10-C1-A8,C1,C1,1691171812,1691171827,,Pick Up,Multiple Fingers
104,15,physical,compare,2-0,1,1,1,2,J3-G7-A3,J3,J3,1691171830,1691171846,,Pick Up,Multiple Fingers
104,16,physical,compare,2-0,1,1,1,3,F8-B6-B2,B2,B2,1691171847,1691171858,,Pick Up,Multiple Fingers
104,17,physical,advect,0-0,1,2,0,training1,H9,04:28,04:30,1691171904,1691171935,,,
104,18,physical,advect,2-0,1,2,1,1,F10,06:59,07:00,1691171962,1691171972,,,Multiple Fingers
104,19,physical,advect,2-0,1,2,1,2,H10,04:53,06:05,1691171977,1691171988,,,Multiple Fingers
104,20,physical,advect,2-0,1,2,1,3,B5,03:30,03:30,1691171990,1691172012,,,Multiple Fingers
104,21,physical,range,0-0,1,0,0,training1,B10,494-1312,450-1200,1691172052,1691172080,,,
104,22,physical,range,2-0,1,0,1,1,G8,1073-1809,1200-1800,1691172107,1691172132,,Pick Up,
104,23,physical,range,2-0,1,0,1,2,B3,1150-1805,1000-1600,1691172134,1691172157,,Pick Up,Multiple Fingers
104,24,physical,range,2-0,1,0,1,3,A7,1797-2345,1800-2250,1691172158,1691172191,,Pick Up,Multiple Fingers
104,25,2d,advect,0-0,2,2,0,training1,C7,02:48,02:50,1691172556,1691172599,,,
104,26,2d,advect,2-0,2,2,1,1,C7,07:23,10:00,1691172634,1691172675,,,
104,27,2d,advect,2-0,2,2,1,2,D9,09:41,06:15,1691172677,1691172717,,,
104,28,2d,advect,2-0,2,2,1,3,A7,08:20,08:30,1691172720,1691172767,,,
104,29,2d,range,0-0,2,0,0,training1,C7,330-885,300-900,1691172836,1691172872,,,
104,30,2d,range,2-0,2,0,1,1,B5,1409-2165,1360-2180,1691172900,1691172959,,,
104,31,2d,range,2-0,2,0,1,2,D9,1752-2334,1700-2280,1691172962,1691173006,,,
104,32,2d,range,2-0,2,0,1,3,E7,1323-2040,1350-2000,1691173017,1691173051,,,
104,33,2d,compare,0-0,2,1,0,training1,J4-C6-E10,J4,J4,1691173089,1691173110,,,
104,34,2d,compare,2-0,2,1,1,1,D5-G8-G3,G3,G3,1691173131,1691173149,,,
104,35,2d,compare,2-0,2,1,1,2,B3-J7-E1,E1,E1,1691173152,1691173166,,,One Finger
104,36,2d,compare,2-0,2,1,1,3,H5-C9-D2,H5,H5,1691173169,1691173198,,,One Finger
105,1,3d,range,0-0,0,0,0,training1,J5,137-393,200-450,1691426559,1691426588,,,
105,2,3d,range,0-2,0,0,1,1,A10,302-1215,100-1150,1691426627,1691426667,,,
105,3,3d,range,0-2,0,0,1,2,B2,826-1163,800-1200,1691426669,1691426714,,,
105,4,3d,range,0-2,0,0,1,3,J4,353-1060,400-1100,1691426715,1691426745,,,
